price,rooms,area,floor,total_floor,district,"address",ZHK,type,year
42000000,3,"80,8",19,21,Бостандык,Солодовникова 21а,КУАT,монолитный,2007
18500000,2,44,5,6,Наурызбай,"мкр. Каргалы, Мустафина 83/2",Аскар Тау,монолитный,2012
18200000,1,43,1,13,Ауэзов,Утеген батыра,UTEGEN,монолитный,2017
18700000,2,"52,4",4,5,Наурызбай,мкр. Калкаман-2 11,,панельный,1990
16800000,2,"43,3",3,4,Ауэзов,"мкр. №6, 6 5 — проспект Абая",,панельный,1965
17500000,1,35,4,5,Бостандык,"мкр. Коктем-2 20, Бухар Жырау",,кирпичный,1979
24000000,2,"57,6",7,9,Жетысу,Райымбека 243А,Максима,монолитный,2006
21500000,2,56,10,14,Алмалы,Толе би 273/11 — Караоткел,Панорама,монолитный,2016
37500000,4,80,3,5,Бостандык,"мкр. Казахфильм, Новая 2 — Исиналиева",,кирпичный,1980
12500000,1,34,3,5,Алатау,мкр. Зердели (Алгабас-6) 1/33,,,2011
33800000,2,"66,4",,15,,Наурызбай батыра 50 — Жибек Жолы,Arbat,,2019
77000000,3,"113,5",15,21,Медеу,"мкр. Самал-2, Снегина 33/а",Samal Tower,,2016
21840000,2,52,,12,Бостандык,Торайгырова — Мустафина,Sholpan City,,2019
43000000,2,"78,6",3,7,Ауэзов,"мкр. №8, 14,8333333333333",Moskva,монолитный,2019
14800000,1,35,10,12,Алатау,"мкр. Акбулак, 1-я улица 43/1",Алмалы,монолитный,2017
25500000,2,"44,3",4,5,Алмалы,Байзакова 223 — Карасай батыра,,кирпичный,1982
57000000,2,88,7,8,Медеу,"мкр. Юбилейный, Омаровой",Европолис,монолитный,2015
39980000,3,"166,6",3,3,Наурызбай,"мкр. Тастыбулак, Таутаган 11",,кирпичный,2009
17700000,1,42,4,5,Ауэзов,"мкр. Таугуль-2, Сулейменова 52",,панельный,1989
73700000,3,107,13,22,Алмалы,Кабанбай батыра 87 — Кабанбай Батыра,Столичный Центр,монолитный,2005
29900000,2,55,5,6,Бостандык,"мкр. Коктем-1 44А, Бухар Жырау Маркова",,,1996
43000000,3,70,4,5,Бостандык,20 линия 198,,кирпичный,1987
11500000,2,40,2,2,Турксиб,проспект Сакена Сейфуллина 64,,кирпичный,1961
33000000,3,76,3,9,Медеу,Пушкина 28 — Жургенова,,панельный,1999
40000000,2,70,1,5,Медеу,Омаровой,Европолис,монолитный,2015
34300000,2,"67,4",,15,,Наурызбай батыра 50 — Жибек Жолы,Arbat,,2019
18800000,1,36,8,9,Бостандык,Навои 312А,,панельный,1986
32000000,3,68,4,5,Бостандык,Жандосова 29 — Розыбакиева,,панельный,1991
78000000,3,"110,1",3,6,Бостандык,"мкр. Ерменсай, Ремизовка — Аль-Фараби",,монолитный,2018
85000000,3,113,3,6,Медеу,Аль-Фараби,Парк Резиденс,монолитный,2008
88500000,3,120,3,3,Бостандык,Аль- Фараби 116/1,Esentai City,монолитный,2019
25000000,4,"91,1",5,5,Турксиб,Тынышбаева 3 — Рихарда Зорге,,кирпичный,1992
38700000,3,90,12,16,Бостандык,Ноуаи,,монолитный,2012
34000000,3,80,5,5,Медеу,Гоголя,,кирпичный,1980
14000000,1,40,8,9,Турксиб,Жас Канат 1/5,,монолитный,2016
15500000,1,32,3,4,Ауэзов,Жандосова — Саина,,панельный,1974
34000000,3,"74,2",4,5,Алмалы,Толе би 125 — Муратбаева,,кирпичный,1986
65000000,3,110,12,22,Бостандык,Бухар Жырау 27/5 — Маркова,Бухар Жырау Тауэрс,монолитный,2010
11000000,1,36,7,7,Алатау,Северное кольцо 86/11,Северное кольцо,монолитный,2015
17000000,1,"39,9",2,5,Ауэзов,"мкр. Аксай-3 16, Мамушилы маречека",,панельный,1988
27000000,2,56,5,5,Бостандык,Гагарина 181 — Утепова,,кирпичный,1989
22092000,2,"52,6",,12,Бостандык,Торайгырова — Мустафина,Sholpan City,,2019
29000000,3,60,2,4,Ауэзов,"мкр. №3, Абая/Саина",,панельный,1963
12000000,1,33,4,4,Ауэзов,мкр. №8,,панельный,1968
219000000,4,"176,8",4,5,Бостандык,"мкр. Баганашыл, Водопроводная — Зеленая",Олимп,кирпичный,2016
35000000,4,89,3,5,Ауэзов,мкр. Аксай-3А 67,,монолитный,1989
27900000,3,"68,6",1,5,Медеу,"мкр. Горный Гигант, Абдуллина 32/2 — Макатаева",,кирпичный,1986
22000000,2,48,6,10,Наурызбай,Кенесары хана,Хан-Тенгри,монолитный,2010
40800000,2,"82,6",,15,,Наурызбай батыра 50 — Жибек Жолы,Arbat,,2019
31000000,4,"93,7",1,2,Алатау,"мкр. Карасу 54, улица 6-ая",КГ Карасу,,2015
32000000,2,70,7,10,Алмалы,Айтиева 46 — Казыбек би,,монолитный,2004
12400000,1,33,3,4,Ауэзов,мкр. №8,,панельный,1964
53000000,3,"69,5",2,5,Медеу,мкр. Самал-3 103/40,,кирпичный,1987
24500000,3,"55,1",4,5,Бостандык,"мкр. Алмагуль, проспект Гагарина 286/1 — Дунаевского",,панельный,1974
